丁 chou|hinoto @kanji_240
洋 you @kanji_348
流 ryuu|naga|nagareru @kanji_349
消 shou|ki|kieru|ke|kesu @kanji_350
深 shin|fuka|fukai @kanji_351
温 on|atata|atatakai @kanji_352
港 kou|minato @kanji_353
湖 ko|mizuumi @kanji_354
湯 tou|yu @kanji_355
漢 kan @kanji_356
炭 tan|sumi @kanji_357
物 butsu|motsu|mono @kanji_358
球 kyuu|tama @kanji_359
由 yuu|yu|yoshi @kanji_360
申 shin|moo|moosu @kanji_361
界 kai @kanji_362
畑 hata|hatake @kanji_363
病 byou|yamai @kanji_364
発 hatsu @kanji_365
登 tou|to|nobo|noboru @kanji_366
皮 hi|kawa @kanji_367
皿 bei|sara @kanji_368
相 sou|ai @kanji_369
県 ken|ka|kakeru @kanji_370
真 shin|ma @kanji_371
着 chaku|ki|kiru|tsu|tsuku @kanji_372
短 tan|mijika|mijikai @kanji_373
研 ken|to|togu @kanji_374
礼 rei @kanji_375
神 shin|jin|kami @kanji_376
祭 sai|matsu|matsuri @kanji_377
福 fuku @kanji_378
秒 byou @kanji_379
究 kyuu|kiwa|kiwameru @kanji_380
章 shou @kanji_381
童 dou|warabe @kanji_382
笛 teki|fue @kanji_383
第 dai @kanji_384
筆 hitsu|fude @kanji_385
等 tou|hito|hitoshii @kanji_386
箱 sou|hako @kanji_387
級 kyuu @kanji_388
終 shuu|o|owaru @kanji_389
緑 ryoku|midori @kanji_390
練 ren|ne|neru @kanji_391
羊 you|hitsuji @kanji_392
美 bi|utsuku|utsukushii @kanji_393
習 shuu|nara|narau @kanji_394
者 sha|mono @kanji_395
育 iku|soda|sodatsu @kanji_396
苦 ku|kuru|kurushii|niga|nigai @kanji_397
荷 ka|ni @kanji_398
落 raku|o|ochiru @kanji_399
葉 you|ha @kanji_400
薬 yaku|kusuri @kanji_401
血 ketsu|chi @kanji_402
表 hyou|omote|arawa|arawasu @kanji_403
詩 shi|uta @kanji_404
調 chou|shira|shiraberu @kanji_405
談 dan @kanji_406
豆 tou|zu|mame @kanji_407
負 fu|ma|makeru|o|ou @kanji_408
起 ki|o|okiru @kanji_409
路 ro|ji @kanji_410
身 shin|mi @kanji_411
転 ten|koro|korobu @kanji_412
軽 kei|karu|karui @kanji_413
農 nou @kanji_414
返 hen|kae|kaesu @kanji_415
追 tsui|o|ou @kanji_416
送 sou|oku|okuru @kanji_417
速 soku|haya|hayai @kanji_418
進 shin|susu|susumu @kanji_419
遊 yuu|aso|asobu @kanji_420
運 un|hako|hakobu @kanji_421
部 bu @kanji_422
都 to|tsu|miyako @kanji_423
配 hai|kuba|kubaru @kanji_424
酒 shu|sake|saka @kanji_425
重 juu|chou|omo|omoi|kasa|kasaneru @kanji_426
鉄 tetsu|kurogane @kanji_427
銀 gin|shirogane @kanji_428
開 kai|hira|hiraku|a|aku @kanji_429
院 in @kanji_430
陽 you|hi @kanji_431
階 kai|kizahashi @kanji_432
集 shuu|atsu|atsumaru @kanji_433
面 men　|omote|tsura @kanji_434
題 dai @kanji_435
飲 in|no|nomu @kanji_436
館 kan|tate @kanji_437
駅 eki @kanji_438
鼻 bi|hana @kanji_439
